price,address,bds,ba,sqft,image
"$799,000","275 Hollywood Ave, Bronx, NY 10465",5,3,"2,400",https://photos.zillowstatic.com/fp/7b96b32b8ac6a4c01153f04b7f17dbcd-p_e.jpg
"$615,000","251 Reid Ave, Staten Island, NY 10305",3,2,"1,788",https://photos.zillowstatic.com/fp/d98311e67e448ccc20baa9a2847f4fdb-p_e.jpg
"$425,000","627 Westwood Ave #A, Staten Island, NY 10314",2,2,"1,056",https://photos.zillowstatic.com/fp/682cd8fc2c2e9b27f939459e80acc624-p_e.jpg
"$799,000","210 Thompson St APT 4BN, New York, NY 10012",2,1,--,https://photos.zillowstatic.com/p_e/ISfksn9xk2fqs20000000000.jpg
"$998,000","123 W 131st St APT 3, New York, NY 10027",2,2,900,https://photos.zillowstatic.com/p_e/IS7qjafzy66gwd0000000000.jpg
"$569,999","136 Lander Ave, Staten Island, NY 10314",3,3,"1,606",https://photos.zillowstatic.com/fp/37769ff6fefc4559aa2a6f62e8b60cfc-p_e.jpg
"$320,000","98-20 62nd Dr #7C, Rego Park, NY 11374",1,1,700,https://photos.zillowstatic.com/fp/14c9f837d8dc4c479349e202a918ea92-p_e.jpg
"$2,399,000","230 W 139th St, New York, NY 10030",6,4,"4,216",https://photos.zillowstatic.com/fp/d94879631bb3c70858391a856b755257-p_e.jpg
"$1,199,999","779 Dawson St, Bronx, NY 10455",7,3,"2,880",https://photos.zillowstatic.com/fp/09930af39891d5520f8f8ee03c77eeb5-p_e.jpg
"$319,000","320 E 42nd St APT 205, New York, NY 10017",Studio,1,350,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$780,000","362 Buchanan Ave, Staten Island, NY 10314",5,3,"2,269","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$829,000","25717 144th Ave, Jamaica, NY 11422",7,4,"3,600","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
